1850,13.680000305175781
1851,13.890000343322754
1852,14.0
1853,14.0600004196167
1854,13.880000114440918
1855,13.930000305175781
1856,13.9399995803833
1857,13.989999771118164
1858,14.0
1859,14.039999961853027
1860,14.029999732971191
1861,13.850000381469727
1862,13.90999984741211
1863,13.979999542236328
1864,14.0
1865,13.880000114440918
1866,13.819999694824219
1867,13.930000305175781
1868,14.069999694824219
1869,13.949999809265137
1870,13.989999771118164
1871,14.079999923706055
1872,14.109999656677246
1873,14.069999694824219
1874,14.029999732971191
1875,13.979999542236328
1876,13.949999809265137
1877,13.960000038146973
1878,14.0
1879,14.029999732971191
1880,14.109999656677246
1881,13.880000114440918
1882,13.890000343322754
1883,13.869999885559082
1884,13.470000267028809
1885,13.59000015258789
1886,13.890000343322754
1887,13.920000076293945
1888,13.84000015258789
1889,13.729999542236328
1890,13.850000381469727
1891,13.90999984741211
1892,13.829999923706055
1893,13.84000015258789
1894,13.920000076293945
1895,13.899999618530273
1896,13.789999961853027
1897,13.9399995803833
1898,14.039999961853027
1899,13.989999771118164
1900,13.989999771118164
1901,14.149999618530273
1902,13.90999984741211
1903,13.710000038146973
1904,13.850000381469727
1905,13.9399995803833
1906,13.899999618530273
1907,13.84000015258789
1908,13.90999984741211
1909,13.949999809265137
1910,13.819999694824219
1911,13.899999618530273
1912,13.920000076293945
1913,13.920000076293945
1914,13.899999618530273
1915,13.9399995803833
1916,14.0
1917,14.100000381469727
1918,14.109999656677246
1919,14.109999656677246
1920,14.0
1921,14.039999961853027
1922,14.0600004196167
1923,14.149999618530273
1924,14.300000190734863
1925,14.180000305175781
1926,14.180000305175781
1927,14.239999771118164
1928,14.140000343322754
1929,14.029999732971191
1930,13.989999771118164
1931,14.109999656677246
1932,14.149999618530273
1933,13.949999809265137
1934,13.920000076293945
1935,14.25
1936,14.100000381469727
1937,14.0600004196167
1938,14.210000038146973
1939,14.15999984741211
1940,14.210000038146973
1941,14.300000190734863
1942,14.050000190734863
1943,14.180000305175781
1944,14.15999984741211
1945,14.050000190734863
1946,14.09000015258789
1947,14.130000114440918
1948,14.170000076293945
1949,14.300000190734863
1950,14.359999656677246
1951,14.270000457763672
1952,14.170000076293945
1953,14.119999885559082
1954,14.25
1955,14.329999923706055
1956,14.430000305175781
1957,14.220000267028809
1958,14.09000015258789
1959,14.180000305175781
1960,14.279999732971191
1961,14.109999656677246
1962,14.149999618530273
1963,13.979999542236328
1964,13.960000038146973
1965,13.989999771118164
1966,14.0
1967,14.1899995803833
1968,14.100000381469727
1969,14.130000114440918
1970,14.3100004196167
1971,14.279999732971191
1972,14.130000114440918
1973,14.270000457763672
1974,14.3100004196167
1975,14.100000381469727
1976,14.130000114440918
1977,14.170000076293945
1978,14.380000114440918
1979,14.390000343322754
1980,14.180000305175781
1981,14.300000190734863
1982,14.319999694824219
1983,14.130000114440918
1984,13.979999542236328
1985,13.960000038146973
1986,14.09000015258789
1987,14.329999923706055
1988,14.329999923706055
1989,14.149999618530273
1990,14.329999923706055
1991,14.4399995803833
1992,13.960000038146973
1993,14.15999984741211
1994,14.289999961853027
1995,14.369999885559082
1996,14.40999984741211
1997,14.539999961853027
1998,14.59000015258789
1999,14.670000076293945
2000,14.630000114440918
2001,14.630000114440918
2002,14.729999542236328
2003,14.789999961853027
2004,14.729999542236328
2005,14.8100004196167
2006,14.920000076293945
2007,14.739999771118164
2008,14.649999618530273
2009,14.680000305175781
2010,14.770000457763672
2011,14.8100004196167
2012,14.770000457763672
2013,14.680000305175781
2014,14.9399995803833
2015,
2016,
2017,
2018,
2019,
2020,
2021,
2022,
2023,
2024,
2025,
2026,
2027,
2028,
2029,
2030,
2031,
2032,
2033,
2034,
2035,
2036,
2037,
2038,
2039,
2040,
2041,
2042,
2043,
2044,
2045,
2046,
2047,
2048,
2049,
2050,
2051,
2052,
2053,
2054,
2055,
2056,
2057,
2058,
2059,
2060,
2061,
2062,
2063,
2064,
2065,
2066,
2067,
2068,
2069,
2070,
2071,
2072,
2073,
2074,
2075,
2076,
2077,
2078,
2079,
2080,
2081,
2082,
2083,
2084,
2085,
2086,
2087,
2088,
2089,
2090,
2091,
2092,
2093,
2094,
2095,
2096,
2097,
2098,
2099,
