1850,13.640000343322754
1851,13.729999542236328
1852,13.8100004196167
1853,13.59000015258789
1854,13.75
1855,13.680000305175781
1856,13.819999694824219
1857,13.880000114440918
1858,13.619999885559082
1859,13.819999694824219
1860,13.789999961853027
1861,13.720000267028809
1862,13.8100004196167
1863,13.770000457763672
1864,13.850000381469727
1865,14.029999732971191
1866,14.0
1867,13.890000343322754
1868,13.930000305175781
1869,13.90999984741211
1870,13.869999885559082
1871,13.880000114440918
1872,13.970000267028809
1873,13.760000228881836
1874,13.859999656677246
1875,13.829999923706055
1876,13.899999618530273
1877,13.890000343322754
1878,13.880000114440918
1879,13.960000038146973
1880,13.989999771118164
1881,13.739999771118164
1882,13.829999923706055
1883,14.119999885559082
1884,13.65999984741211
1885,13.59000015258789
1886,13.65999984741211
1887,13.770000457763672
1888,13.75
1889,13.670000076293945
1890,13.649999618530273
1891,13.789999961853027
1892,13.729999542236328
1893,13.720000267028809
1894,13.859999656677246
1895,13.75
1896,13.8100004196167
1897,13.819999694824219
1898,14.039999961853027
1899,13.880000114440918
1900,13.770000457763672
1901,13.800000190734863
1902,13.949999809265137
1903,13.640000343322754
1904,13.720000267028809
1905,13.5600004196167
1906,13.75
1907,13.829999923706055
1908,13.789999961853027
1909,13.789999961853027
1910,13.800000190734863
1911,13.859999656677246
1912,13.760000228881836
1913,13.630000114440918
1914,13.529999732971191
1915,13.630000114440918
1916,13.680000305175781
1917,13.680000305175781
1918,13.729999542236328
1919,13.760000228881836
1920,13.710000038146973
1921,13.9399995803833
1922,13.800000190734863
1923,13.640000343322754
1924,13.800000190734863
1925,13.859999656677246
1926,13.880000114440918
1927,14.0600004196167
1928,13.90999984741211
1929,13.819999694824219
1930,13.9399995803833
1931,14.010000228881836
1932,13.970000267028809
1933,13.949999809265137
1934,13.979999542236328
1935,14.0
1936,13.779999732971191
1937,13.869999885559082
1938,13.75
1939,13.850000381469727
1940,13.710000038146973
1941,13.6899995803833
1942,13.890000343322754
1943,13.920000076293945
1944,13.819999694824219
1945,13.739999771118164
1946,13.829999923706055
1947,13.819999694824219
1948,13.970000267028809
1949,13.880000114440918
1950,13.920000076293945
1951,13.989999771118164
1952,13.989999771118164
1953,13.880000114440918
1954,13.9399995803833
1955,13.8100004196167
1956,13.890000343322754
1957,14.180000305175781
1958,13.970000267028809
1959,14.0
1960,14.0600004196167
1961,14.210000038146973
1962,14.180000305175781
1963,13.680000305175781
1964,13.609999656677246
1965,13.760000228881836
1966,13.960000038146973
1967,14.010000228881836
1968,13.819999694824219
1969,13.850000381469727
1970,13.880000114440918
1971,13.890000343322754
1972,13.90999984741211
1973,14.050000190734863
1974,14.09000015258789
1975,13.699999809265137
1976,13.680000305175781
1977,13.869999885559082
1978,14.130000114440918
1979,14.09000015258789
1980,14.09000015258789
1981,14.260000228881836
1982,14.270000457763672
1983,14.039999961853027
1984,14.09000015258789
1985,14.180000305175781
1986,14.140000343322754
1987,14.079999923706055
1988,14.25
1989,14.15999984741211
1990,14.300000190734863
1991,14.3100004196167
1992,13.989999771118164
1993,14.170000076293945
1994,14.369999885559082
1995,14.3100004196167
1996,14.300000190734863
1997,14.279999732971191
1998,14.479999542236328
1999,14.420000076293945
2000,14.5
2001,14.609999656677246
2002,14.6899995803833
2003,14.680000305175781
2004,14.720000267028809
2005,14.720000267028809
2006,14.6899995803833
2007,14.670000076293945
2008,14.739999771118164
2009,14.699999809265137
2010,14.75
2011,14.84000015258789
2012,14.8100004196167
2013,14.850000381469727
2014,15.0
2015,
2016,
2017,
2018,
2019,
2020,
2021,
2022,
2023,
2024,
2025,
2026,
2027,
2028,
2029,
2030,
2031,
2032,
2033,
2034,
2035,
2036,
2037,
2038,
2039,
2040,
2041,
2042,
2043,
2044,
2045,
2046,
2047,
2048,
2049,
2050,
2051,
2052,
2053,
2054,
2055,
2056,
2057,
2058,
2059,
2060,
2061,
2062,
2063,
2064,
2065,
2066,
2067,
2068,
2069,
2070,
2071,
2072,
2073,
2074,
2075,
2076,
2077,
2078,
2079,
2080,
2081,
2082,
2083,
2084,
2085,
2086,
2087,
2088,
2089,
2090,
2091,
2092,
2093,
2094,
2095,
2096,
2097,
2098,
2099,
