Period,A,B,C,D,E
"(1901, 1930)",21.34180004785624,32.788665498437055,12.965368934133148,25.269487984314683,7.634677535258953
"(1931, 1960)",21.694905340760364,32.86655644635488,12.899951622063853,25.16626416612292,7.372322424698046
"(1961, 1990)",21.610394838539044,32.7884561851407,12.730238985067732,25.498565298146232,7.372344693106333
"(1991, 2020)",22.106262877450334,33.44655391753819,12.722200173795605,25.270594322443575,6.454388708772355
"(2041, 2070)",23.603999305102104,34.22793109536452,12.209589078134604,25.410526641187406,4.547953880211445
"(2071, 2099)",23.987482020948917,35.31452887101411,12.108754375029145,24.680317797702727,3.9089169353051583
