Period,A,B,C,D,E
"(1901, 1930)",21.34180004785624,32.788665498437055,12.965368934133148,25.269487984314683,7.634677535258953
"(1931, 1960)",21.694905340760364,32.86655644635488,12.899951622063853,25.16626416612292,7.372322424698046
"(1961, 1990)",21.610394838539044,32.7884561851407,12.730238985067732,25.498565298146232,7.372344693106333
"(1991, 2020)",22.106262877450334,33.44655391753819,12.722200173795605,25.270594322443575,6.454388708772355
"(2041, 2070)",23.385822766271232,34.06023617992881,12.387085566466858,25.266058823102224,4.900796664230927
"(2071, 2099)",23.699109053517553,34.420667403563264,11.990013456573456,25.365325539094467,4.52488454725132
