Period,A,B,C,D,E
"(1901, 1930)",29.198820117482494,44.859868597510214,17.73859160968837,34.57249306339579,10.445397084928794
"(1931, 1960)",29.68192172591848,44.96643523068703,17.649090802661906,34.43126722056799,10.086455493170249
"(1961, 1990)",29.566298538236786,44.85958222516699,17.41689816904143,34.88590558082941,10.086485959731009
"(1991, 2020)",30.24472124099442,45.7599597596256,17.405899855695466,34.57400670179284,8.83058291489732
"(2041, 2070)",31.995353284188933,46.599570193077916,16.947412234398698,34.56780145063717,6.705033310702913
"(2071, 2099)",32.42397645215354,47.09269478613134,16.40415735034728,34.703613377344915,6.19072850702858
