Period,A,B,C,D,E
"(1901, 1930)",21.34180004785624,32.788665498437055,12.965368934133148,25.269487984314683,7.634677535258953
"(1931, 1960)",21.694905340760364,32.86655644635488,12.899951622063853,25.16626416612292,7.372322424698046
"(1961, 1990)",21.610394838539044,32.7884561851407,12.730238985067732,25.498565298146232,7.372344693106333
"(1991, 2020)",22.106262877450334,33.44655391753819,12.722200173795605,25.270594322443575,6.454388708772355
"(2041, 2070)",23.683668954977666,34.495550541937156,12.320386367209288,24.875031500053527,4.625362635822424
"(2071, 2099)",24.500706962763033,35.68702406066837,12.213257353113075,24.02808637823156,3.5709252452240166
