,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
ACCESS-CM2,0.32980389955664885,0.2600000312014455,0.2495518478692746,0.2608963461483224,0.2776190413146461,0.29946767983316375,0.30162470948462394,0.306834784542479,0.2840615414103875,0.2212044504844175,,,,,,,,,,
ACCESS-ESM1-5,0.21941174312132072,0.39633056629939567,0.28703079971612666,0.22885152672519202,0.25442585290647035,0.2439496283437691,0.29428571813246784,0.24722685132707867,0.23490195982262546,0.17848739570596306,0.20308120310807423,0.28498593231543085,0.29537813469809293,0.22484590492996528,0.29411766842967635,0.28747904534433405,0.22019602671390825,0.2624650148450494,0.24369747097752675,0.25470592060676817
AWI-CM-1-1-MR,0.2517646314049302,0.22501394661868646,0.22610639524059145,0.20882347919026012,0.28352934305741356,,,,,,,,,,,,,,,
AWI-ESM-1-1-LR,0.2725769839033026,,,,,,,,,,,,,,,,,,,
BCC-CSM2-MR,0.253333406955922,0.1981792743800402,0.2952661247146564,,,,,,,,,,,,,,,,,
BCC-ESM1,0.24434178616820257,0.28613445004161314,0.2982072349356003,,,,,,,,,,,,,,,,,
CAMS-CSM1-0,0.20378149123418884,0.1382072619697293,0.13745094480968653,,,,,,,,,,,,,,,,,
CAS-ESM2-0,0.27201676301929467,0.2533893184501585,0.2448459806896392,0.2375070454359724,,,,,,,,,,,,,,,,
CESM2,0.22445379518995107,0.2536975422493216,0.2784313581236938,0.2952382223946708,0.2984873453776043,0.21266101922641611,0.27885145299574904,0.32288512061623975,0.3214845497067234,0.26428572871104017,0.26232499301600526,,,,,,,,,
CESM2-FV2,0.2917366668957621,0.31014007279852845,0.28154054208963863,0.18915967914570622,,,,,,,,,,,,,,,,
CESM2-WACCM,0.3352660732109006,0.2983753166946711,0.30403368546515286,,,,,,,,,,,,,,,,,
CESM2-WACCM-FV2,0.306330579335616,0.2733613342798057,0.2746778215680803,,,,,,,,,,,,,,,,,
CIESM,0.28641463528160277,0.29190478071111264,0.2055742066113556,,,,,,,,,,,,,,,,,
CMCC-CM2-HR4,0.20826327433439207,,,,,,,,,,,,,,,,,,,
CMCC-CM2-SR5,0.23176466517087796,0.1828571020388135,0.22140053073231244,0.2652100929025174,0.16218488356646366,0.21512603759765625,0.37428573266464793,0.22140053073231244,0.23896357058143083,0.23812329268255156,0.28224092371323517,,,,,,,,,
CMCC-ESM2,0.2215686044773133,,,,,,,,,,,,,,,,,,,
CNRM-CM6-1,0.17028009858118043,0.18627455254562753,0.289383786733077,0.21918768041274134,0.2723528891384435,0.2416526142622576,0.21733890928808047,0.27336128352402966,0.25103638486034074,0.19033618734664282,0.1932494353179504,0.16305328550792875,0.18120449397410332,0.22014002973625962,0.1967786153157552,0.21801128708013956,0.22310921591537014,0.1683752877371651,0.17490194090942032,0.18224083876409458
CNRM-CM6-1-HR,0.2112324471567192,,,,,,,,,,,,,,,,,,,
CNRM-ESM2-1,0.1892436879689619,0.3335014418059705,0.15831932901334364,0.13282916125129252,0.2149580065943614,0.16201682852095922,0.23577039114901327,0.22605043833329236,0.13086827061757317,0.11910368548053982,0.17134454871426105,,,,,,,,,
CanESM5,0.38666667724523884,0.3927730993062508,0.38361339408810397,0.3539775693449986,0.4315405987223991,0.3879271488563687,0.3589355057361078,0.3072548366728282,0.39126048635701843,0.44731097395012687,0.37756304380272604,0.37380949923304263,0.3350700250192851,0.3343137586150183,0.36736698043780497,0.3816526877779919,0.4573108795978108,0.4241735981959924,0.3761065026291279,0.3485994338989258
CanESM5-1,0.33985992773574275,0.33498596009754017,0.3900840208977878,0.2798599328647475,0.2926330673260515,0.3552660634871625,0.3969748227202257,0.3688795800302542,0.4168907186898199,0.3419048138359348,0.3473949939930805,0.39627445445341236,0.4073389972291406,0.3959943440114081,0.327394894191197,0.4112605033468466,0.36445376452277695,0.31535015854181037,0.30857140410180184,0.35176476978120347
CanESM5-CanOE,0.3285433798610999,0.3979832224485252,0.34803918095863834,,,,,,,,,,,,,,,,,
E3SM-1-0,0.29938377519281656,0.28946776350005327,0.32571422886781665,0.3573109816436342,0.3397479124095927,,,,,,,,,,,,,,,
E3SM-1-1,0.3085434162984042,,,,,,,,,,,,,,,,,,,
E3SM-1-1-ECA,0.29509798418573974,,,,,,,,,,,,,,,,,,,
E3SM-2-0,0.2564145283204834,0.2372829640278963,0.27596634242381046,0.23526609244466842,0.23523816341111645,,,,,,,,,,,,,,,
EC-Earth3,0.24403357572582246,0.17448184069465184,0.29243697105001665,0.35719887549135876,0.1302241263937216,0.1713445967986803,0.2489355124679266,0.3817367072866745,0.2655182739599746,0.22837546158905453,0.28557416771640287,0.21299723884304694,0.2684314257624435,0.21364134299654922,0.3460784372495337,0.32823531100062087,0.16624649699662575,0.2831092668848546,0.24708686689702733,0.37733891431023103
EC-Earth3-AerChem,0.3536974482175682,0.24851545232350752,0.32859942759452426,,,,,,,,,,,,,,,,,
EC-Earth3-CC,0.28582631172586215,0.3433052752198291,0.3499999406958828,0.278067217487581,0.15336137659409463,0.31703077043805794,0.37887957116135024,0.2413165068426051,0.2403081258138021,0.20011209974101957,,,,,,,,,,
EC-Earth3-Veg,0.22313723310369077,0.3532492586878502,0.24011201083827083,0.2554061205781141,0.349691901220327,0.20700288820667428,0.2318487541348327,0.3101120609529212,0.2541176691776563,,,,,,,,,,,
EC-Earth3-Veg-LR,0.23112049423345998,0.25462183164281343,0.2938374805183305,,,,,,,,,,,,,,,,,
FGOALS-f3-L,0.18703085100617406,0.23246498535327206,0.2746498952058851,,,,,,,,,,,,,,,,,
